# OpenGeoFeed by PURPLE COW INTERNET
# Feed for AS397545
#
# This file contains a self-published geofeed as defined in http://tools.ietf.org/html/draft-google-self-published-geofeeds-02(draft02)
# Last modified - Thu 21 Aug 2025 18:56:54 GMT
# Number of records: 15
#Prefix,Country,Region,City,PostalCode
38.20.192.0/21,CA,CA-NS,Halifax,B3K 3W7
38.20.240.0/20,CA,CA-NS,Halifax,B3K 3W7
38.21.184.0/21,CA,CA-NS,Halifax,B3K 3W7
38.39.192.0/20,CA,CA-NS,Halifax,B3K 3W7
38.59.176.0/20,CA,CA-NS,Halifax,B3K 3W7
38.70.144.0/20,CA,CA-NS,Halifax,B3K 3W7
64.42.144.0/21,CA,CA-NS,Halifax,B3K 3W7
104.36.168.0/21,CA,CA-NS,Halifax,B3K 3W7
168.91.16.0/20,CA,CA-NS,Halifax,B3K 3W7
38.174.16.0/20,CA,CA-NS,Halifax,B3K 3W7
38.174.0.0/20,CA,CA-NS,Halifax,B3K 3W7
69.90.168.0/21,CA,CA-NS,Halifax,B3K 3W7
66.199.176.0/21,CA,CA-NS,Halifax,B3K 3W7
38.162.192.0/18,CA,CA-NS,Halifax,B3K 3W7
2606:d4c0::/32,CA,CA-NS,Halifax,B3K 3W7
